CIK,Ticker,Name,Position,Year,Salary,Stock Awards,Option Awards,Non-Equity Incentive Compensation,Other Compensation,Total
320193,AAPL,Tim Cook,Chief Executive Officer,2018,3000000,0,0,12000000,682219,15682219
320193,AAPL,Jeff Williams,Chief Operating Officer,2018,1000000,21491888,0,4000000,51818,26543706
320193,AAPL,Angela Ahrendts,"Senior Vice President, Retail",2018,1000000,21491888,0,4000000,46942,26538830
320193,AAPL,Kate Adams,"Senior Vice President, General Counsel and Secretary",2018,884615,21509765,0,4000000,306280,26700660
320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2018,1000000,21491888,0,4000000,17804,26509692
320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2017,1019231,20000113,0,3109000,13271,24141615
320193,AAPL,Johny Srouji,"Senior Vice President, Hardware Technologies",2017,1019231,20000113,0,3109000,34048,24162392
320193,AAPL,Dan Riccio,"Senior Vice President, Hardware Engineering",2017,1019231,20000113,0,3109000,17702,24146046
320193,AAPL,Tim Cook,Chief Executive Officer,2017,3057692,0,0,9327000,440374,12825066
320193,AAPL,Angela Ahrendts,"Senior Vice President, Retail",2017,1019231,20000113,0,3109000,87728,24216072
320193,AAPL,Bruce Sewell,"Former Senior Vice President, General Counsel and Secretary",2017,1019231,20000113,0,3109000,17702,24146046
320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2016,1000000,20000083,0,1790000,13486,22803569
320193,AAPL,Angela Ahrendts,"Senior Vice President, Retail",2016,1000000,20000083,0,1790000,112809,22902892
320193,AAPL,Dan Riccio,"Senior Vice President, Hardware Engineering",2016,1000000,20000083,0,1790000,17461,22807544
320193,AAPL,Bruce Sewell,"Senior Vice President, General Counsel and Secretary",2016,1000000,20000083,0,1790000,17461,22807544
320193,AAPL,Eddy Cue,"Senior Vice President, Internet Software and Services",2016,1000000,20000083,0,1790000,17461,22807544
320193,AAPL,Tim Cook,Chief Executive Officer,2016,3000000,0,0,5370000,377719,8747719
320193,AAPL,Dan Riccio,"Senior Vice President, Hardware Engineering",2015,1000000,20000105,0,4000000,17521,25017626
320193,AAPL,Eddy Cue,"Senior Vice President, Internet Software and Services",2015,1000000,20000105,0,4000000,52136,25052241
320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2015,1000000,20000105,0,4000000,337872,25337977
320193,AAPL,Tim Cook,Chief Executive Officer,2015,2000000,0,0,8000000,281327,10281327
320193,AAPL,Angela Ahrendts,"Senior Vice President, Retail and Online Stores",2015,1000000,20000105,0,4000000,779124,25779229
320193,AAPL,Bruce Sewell,"Senior Vice President, General Counsel and Secretary",2015,1000000,20000105,0,4000000,17521,25017626
320193,AAPL,Tim Cook,Chief Executive Officer,2014,1748462,0,0,6700000,774176,9222638
320193,AAPL,Angela Ahrendts,"Senior Vice President, Retail and Online Stores",2014,411538,70001196,0,1648352,790038,73351124
320193,AAPL,Jeff Williams,"Senior Vice President, Operations",2014,947596,20000900,0,3437500,17239,24403235
320193,AAPL,Peter Oppenheimer,"Former Senior Vice President, Chief Financial Officer",2014,947596,0,0,3437500,132624,4517720
320193,AAPL,Eddy Cue,"Senior Vice President, Internet Software and Services",2014,947596,20000900,0,3437500,59743,24445739
320193,AAPL,Dan Riccio,"Senior Vice President, Hardware Engineering",2014,947596,20000900,0,3437500,17239,24403235
320193,AAPL,Luca Maestri,"Senior Vice President, Chief Financial Officer",2014,717211,11335043,0,1608255,342292,14002801
320193,AAPL,Eddy Cue,"Senior Vice President, Internet Software and Services",2013,866061,0,0,1750000,31044,2647105
320193,AAPL,Jeffrey Williams,"Senior Vice President, Operations",2013,866061,0,0,1750000,16791,2632852
320193,AAPL,Peter Oppenheimer,"Senior Vice President, Chief Financial Officer",2013,866061,0,0,1750000,16791,2632852
320193,AAPL,Dan Riccio,"Senior Vice President, Hardware Engineering",2013,866061,0,0,1750000,16791,2632852
320193,AAPL,Jeff Williams,"Senior Vice President, Operations",2013,866061,0,0,1750000,16791,2632852
320193,AAPL,Tim Cook,Chief Executive Officer,2013,1400006,0,0,2800000,52721,4252727
320193,AAPL,Timothy Cook,Chief Executive Officer,2013,1400006,0,0,2800000,52721,4252727
320193,AAPL,Eduardo Cue,"Senior Vice President, Internet Software and Services",2013,866061,0,0,1750000,31044,2647105
320193,AAPL,Daniel Riccio,"Senior Vice President, Hardware Engineering",2013,866061,0,0,1750000,16791,2632852
320193,AAPL,Jeff Williams,"Senior Vice President, Operations",2012,805400,66269800,0,1600000,16412,68691612
320193,AAPL,Bruce Sewell,"Senior Vice President, General Counsel and Secretary",2012,805400,66571750,0,1600000,12662,68989812
320193,AAPL,Eduardo Cue,"Senior Vice President, Internet Software and Services",2012,805400,47975262,0,1600000,39753,50420415
320193,AAPL,Timothy Cook,Chief Executive Officer,2012,1357718,0,0,2800000,17274,4174992
320193,AAPL,Robert Mansfield,"Senior Vice President, Technologies",2012,805400,83118825,0,1600000,16412,85540637
320193,AAPL,Jeffrey Williams,"Senior Vice President, Operations",2012,805400,66269800,0,1600000,16412,68691612
320193,AAPL,Eddy Cue,"Senior Vice President, Internet Software and Services",2012,805400,47975262,0,1600000,39753,50420415
320193,AAPL,Peter Oppenheimer,"Senior Vice President, Chief Financial Officer",2012,805400,66169750,0,1600000,16412,68591562
320193,AAPL,Tim Cook,Chief Executive Officer,2012,1357718,0,0,2800000,17274,4174992
320193,AAPL,Bruce Sewell,"Senior Vice President, General Counsel and Secretary",2011,700014,0,0,700000,8771,1408785
320193,AAPL,Timothy D. Cook,Chief Executive Officer,2011,900017,376180000,0,900000,16520,377996537
320193,AAPL,Peter Oppenheimer,"Senior Vice President, Chief Financial Officer",2011,700014,0,0,700000,16129,1416143
320193,AAPL,Eduardo H. Cue,"Senior Vice President, Internet Software and Services",2011,607704,51852000,0,444615,48656,52952975
320193,AAPL,Scott Forstall,"Senior Vice President, iOS Software",2011,700014,0,0,700000,16513,1416527
320193,AAPL,Ronald B. Johnson,"Senior Vice President, Retail",2011,700014,0,0,700000,16129,1416143
320193,AAPL,Steven P. Jobs,Former Chief Executive Officer,2011,1,0,0,0,0,1
320193,AAPL,Eduardo Cue,"Senior Vice President, Internet Software and Services",2011,607704,51852000,0,444615,48656,52952975
320193,AAPL,Timothy Cook,Chief Executive Officer,2011,900017,376180000,0,900000,16520,377996537
320193,AAPL,Timothy Cook,Chief Executive Officer,2010,800016,52334250,0,900000,58306,59092572
320193,AAPL,Peter Oppenheimer,"Senior Vice President, Chief Financial Officer",2010,700014,28377000,0,700000,19652,29796666
320193,AAPL,Ronald B. Johnson,"Senior Vice President, Retail",2010,700014,28377000,0,700000,18429,29795443
320193,AAPL,Timothy D. Cook,Chief Operating Officer,2010,800016,52334250,0,900000,58306,59092572
320193,AAPL,D. Bruce Sewell,"Senior Vice President, General Counsel and Secretary",2010,650012,28377000,0,700000,12597,29739609
320193,AAPL,Bruce Sewell,"Senior Vice President, General Counsel and Secretary",2010,650012,28377000,0,700000,12597,29739609
320193,AAPL,Steven P. Jobs,Chief Executive Officer,2010,1,0,0,0,0,1
320193,AAPL,Scott Forstall,"Senior Vice President, iOS Software",2010,600012,28377000,0,600000,15925,29592937
320193,AAPL,Peter Oppenheimer,"Senior Vice President, Chief Financial Officer",2009,700398,8850003,0,700000,19319,10269720
320193,AAPL,Steven P. Jobs,Chief Executive Officer,2009,1,0,0,0,0,1
320193,AAPL,Robert Mansfield,"Senior Vice President, Mac Hardware Engineering",2009,600396,12239549,537872,600000,18772,13996589
320193,AAPL,Scott Forstall,"Senior Vice President, iPhone Software Engineering & Platform Experience",2009,600396,12312632,273818,600000,17909,13804755
320193,AAPL,Timothy D. Cook,Chief Operating Officer,2009,800400,12359723,0,800000,40917,14001040
320193,AAPL,Steven P. Jobs,Chief Executive Officer,2008,1,0,0,0,0,1
320193,AAPL,Peter Oppenheimer,Senior Vice President and Chief Financial Officer,2008,600012,4145732,0,600000,23703,5369447
320193,AAPL,Timothy D. Cook,Chief Operating Officer,2008,718860,5984384,0,700000,20450,7423694
320193,AAPL,Tony Fadell,"Senior Vice President, iPod Division",2008,500009,6879383,459693,500000,78438,8418023
320193,AAPL,Robert Mansfield,"Senior Vice President, Mac Hardware Engineering",2008,489432,5379345,810589,408654,22983,7111003
320193,AAPL,Ronald B. Johnson,"Senior Vice President, Retail",2007,600012,4946610,0,600000,379,6147001
320193,AAPL,Tony Fadell,"Senior Vice President, iPod Division",2007,500009,3705832,628628,500000,13952,5355171
320193,AAPL,Timothy D. Cook,Chief Operating Officer,2007,700014,6943426,0,700000,13750,8357190
320193,AAPL,Peter Oppenheimer,Senior Vice President and Chief Financial Officer,2007,600012,4946610,0,600000,598723,6745345
320193,AAPL,Steven P. Jobs,Chief Executive Officer,2007,1,0,0,0,0,1
1328581,BCC,Nate Jorgensen,Chief Executive Officer &amp; Director,2022,936538,2799958,0,2317933,215435,6277015
1328581,BCC,Jill Twedt,"SVP, General Counsel, and Corporate Secretary",2022,449570,600002,0,556343,82806,1696016
1328581,BCC,Mike Brown,"EVP, Wood Products",2022,492608,850030,0,851226,106868,2318334
1328581,BCC,Jeff Strom,"EVP, Building Materials Distribution",2022,470123,850030,0,846222,96747,2272915
1328581,BCC,Kelly Hibbs,"SVP, Chief Financial Officer, and Treasurer",2022,477031,850030,0,804989,87682,2245739
1328581,BCC,Mike Brown,"EVP, Wood Products",2021,457469,600028,0,823445,96708,1989701
1328581,BCC,Jill Twedt,"SVP, General Counsel, and Corporate Secretary",2021,431246,399984,0,533667,76217,1443094
1328581,BCC,Nate Jorgensen,Chief Executive Officer &amp; Director,2021,859135,2214964,0,2126358,198031,5398488
1328581,BCC,Jeff Strom,"EVP, Building Materials Distribution",2021,409912,600028,0,700551,58063,1773110
1328581,BCC,Wayne Rancourt,"Former EVP, Chief Financial Officer, and Treasurer",2021,213962,0,0,5790,0,219752
1328581,BCC,Kelly Hibbs,"SVP, Chief Financial Officer, and Treasurer",2021,405742,456618,0,604289,62093,1544118
1328581,BCC,Jill Twedt,"SVP, General Counsel, and Corporate Secretary",2020,412892,299984,0,506310,46036,1266437
1328581,BCC,Thomas Corrick,Former CEO &amp; Director,2020,242306,490673,0,310148,0,1135225
1328581,BCC,Nate Jorgensen,Chief Executive Officer &amp; Director,2020,809521,2214994,0,1926238,83217,5033970
1328581,BCC,Nick Stokes,"EVP, Building Materials Distribution",2020,546315,983368,0,49669,0,2161451
1328581,BCC,Wayne Rancourt,"EVP, Chief Financial Officer, and Treasurer",2020,565665,1018198,0,182834,0,2348017
1328581,BCC,Mike Brown,"EVP, Wood Products",2020,439646,500022,0,785932,60837,1797807
1328581,BCC,Wayne Rancourt,"EVP, Chief Financial Officer, and Treasurer",2019,524388,1023380,0,432096,579401,2823985
1328581,BCC,Nate Jorgensen,CEO &amp; Director,2019,466846,499980,0,358201,45905,1370932
1328581,BCC,Thomas Corrick,CEO &amp; Director,2019,896346,1780002,0,923237,144399,3937947
1328581,BCC,Nate,Jorgensen COO,2019,466846,499980,0,358201,45905,1370932
1328581,BCC,Nick Stokes,"EVP, Building Materials Distribution",2019,507031,499980,0,478637,78159,1803272
1328581,BCC,Mike Brown,"EVP, Wood Products",2019,387277,449982,0,302356,49755,1241951
1328581,BCC,Wayne Rancourt,"EVP, Chief Financial Officer, and Treasurer",2018,499885,499983,0,503884,90327,1599675
1328581,BCC,Nick Stokes,"EVP, Building Materials Distribution",2018,482885,355403,0,4742,0,1451653
1328581,BCC,Thomas K. Corrick,Chief Executive Officer,2018,854615,1076815,0,51678,0,3860499
1328581,BCC,Wayne M. Rancourt,"EVP, Chief Financial Officer, and Treasurer",2018,499885,503884,0,5596,0,1599675
1328581,BCC,Dan Hutchinson,"EVP, Wood Products",2018,431731,542254,0,31122,0,1583726
1328581,BCC,Thomas Corrick,CEO &amp; Director,2018,854615,1699958,0,1076815,177433,3860499
1328581,BCC,John T. Sahlberg,"SVP, Human Resources, General Counsel",2018,460731,377339,0,24292,0,1349807
1328581,BCC,Thomas Corrick,CEO &amp; Director,2017,819038,1821277,0,1318652,109364,4146917
1328581,BCC,Thomas K. Corrick,Chief Executive Officer and former Chief Operating Officer,2017,819038,1821277,0,1318652,109364,4146917
1328581,BCC,Nick Stokes,"Executive Vice President, Building Materials Distribution",2017,462308,587499,0,702708,77323,1951512
1328581,BCC,Wayne Rancourt,"EVP, Chief Financial Officer, and Treasurer",2017,481962,528746,0,581969,58072,1796658
1328581,BCC,Wayne M. Rancourt,"Executive Vice President, Chief FinancialOfficer & Treasurer",2017,481962,528746,0,581969,58072,1796658
1328581,BCC,Dan Hutchinson,"Executive Vice President, Wood Products",2017,416731,587499,0,473406,50530,1568083
1328581,BCC,John T. Sahlberg,"Senior Vice President, Human Resources, General Counsel & Secretary",2017,444846,470021,0,465531,55651,1478298
1328581,BCC,Thomas K. Corrick,Chief Executive Officer and former Chief Operating Officer,2016,779615,2278524,0,912150,47417,4121985
1328581,BCC,Wayne M. Rancourt,"Executive Vice President, Chief FinancialOfficer & Treasurer",2016,466731,661503,0,409556,26999,1640118
1328581,BCC,Daniel Hutchinson,"Executive Vice President, Wood Products",2016,401731,661503,0,307324,21501,1412763
1328581,BCC,Dan Hutchinson,"Executive Vice President, Wood Products",2016,401731,661503,0,307324,21501,1412763
1328581,BCC,John T. Sahlberg,"Senior Vice President, Human Resources, General Counsel & Secretary",2016,431500,587985,0,328156,24989,1388303
1328581,BCC,Nick Stokes,"Executive Vice President, Building Materials Distribution",2016,442308,661503,0,516256,45220,1709073
1328581,BCC,Thomas E. Carlile,Chief Executive Officer,2015,190385,0,0,102808,95375,394031
1328581,BCC,Daniel Hutchinson,"Executive Vice President, Wood Products",2015,357692,366772,0,36216,32225,856032
1328581,BCC,Thomas K. Corrick,Chief Executive Officer and former Chief Operating Officer,2015,701923,1222475,0,379038,58133,2376221
1328581,BCC,Nick Stokes,"Executive Vice President, Building Materials Distribution",2015,427308,366772,0,310065,52473,1161651
1328581,BCC,Dan Hutchinson,"Executive Vice President, Wood Products",2015,357692,366772,0,36216,32225,856032
1328581,BCC,Wayne M. Rancourt,"Executive Vice President, Chief FinancialOfficer & Treasurer",2015,452308,366772,0,183185,47513,1055718
1328581,BCC,John T. Sahlberg,"Senior Vice President, Human Resources, General Counsel & Secretary",2015,404615,325974,0,142020,41355,925040
1328581,BCC,Wayne M. Rancourt,"Executive Vice President, Chief FinancialOfficer & Treasurer",2014,438000,343465,0,424725,46185,1503559
1328581,BCC,Thomas K. Corrick,Chief Operating Officer,2014,407000,286251,0,459513,42374,1467828
1328581,BCC,Thomas E. Carlile,Chief Executive Officer,2014,850000,1030516,0,1600000,1888558,5672223
1328581,BCC,Nick Stokes,"Executive Vice President, Building Materials Distribution",2014,394000,343465,0,359791,42286,1396406
1328581,BCC,John T. Sahlberg,"Senior Vice President,Human Resources, General Counsel& Secretary",2014,356000,286251,0,374400,38163,1273830
1328581,BCC,Wayne M. Rancourt,"Senior Vice President, Chief FinancialOfficer & Treasurer",2013,419000,164670,146797,430650,47594,1213902
1328581,BCC,Thomas E. Carlile,Chief Executive Officer,2013,807000,439085,391482,1594000,153564,3394760
1328581,BCC,Stanley R. Bell,"President, Building Materials Distribution",2013,443000,120778,107659,263388,79221,1035030
1328581,BCC,Thomas A. Lovlien,"President, Wood ProductsManufacturing",2013,443000,120778,107659,504063,67784,1254404
1328581,BCC,John T. Sahlberg,"Senior Vice President,Human Resources, General Counsel& Secretary",2013,323000,109771,97874,336325,37232,911952
1328581,BCC,Thomas E. Carlile,Chief Executive Officer,2012,741667,0,0,2003500,114532,3131141
1328581,BCC,Wayne M. Rancourt,"Senior Vice President, Chief FinancialOfficer & Treasurer",2012,360417,0,0,505500,41897,1042022
1328581,BCC,Thomas A. Lovlien,"President, Wood ProductsManufacturing",2012,428333,0,0,654905,61885,1781806
1328581,BCC,John T. Sahlberg,"Senior Vice President,Human Resources, General Counsel& Secretary",2012,308333,0,0,388120,34759,878187
1328581,BCC,Stanley R. Bell,"President, Building Materials Distribution",2012,428333,0,0,616028,60432,1227349
1328581,BCC,Stanley R. Bell,"President, Building Materials Distribution",2011,420000,0,0,194828,37199,1245551
1328581,BCC,John T. Sahlberg,"Senior Vice President,Human Resources, General Counsel& Secretary",2011,300000,0,0,105300,41229,589049
1328581,BCC,Thomas A. Lovlien,"President, Wood ProductsManufacturing",2011,420000,0,0,182070,46156,908947
1328581,BCC,Thomas E. Carlile,Chief Executive Officer,2011,700000,0,0,577500,88676,1692125
1328581,BCC,Wayne M. Rancourt,"Senior Vice President, Chief FinancialOfficer & Treasurer",2011,350000,0,0,151725,24734,728046
931148,EAF,David J. Rintoul,Former Chief Executive Officer and President,2022,393750,0,0,68000,824400,1406150
931148,EAF,I igo Perez Ortiz,"Senior Vice President, Commercial and CTS",2022,467803,695530,218858,59911,70267,1618095
931148,EAF,Timothy K. Flanagan,"Chief Financial Officer, VicePresident Finance and Treasurer",2022,430000,521862,208601,54825,24400,1336438
931148,EAF,Gina K. Gunning,Chief Legal Officer and Corporate Secretary,2022,395000,334767,184344,44200,24400,1060711
931148,EAF,Marcel Kessler,Chief Executive Officer and President,2022,393414,446112,244961,63750,146531,1407268
931148,EAF,Jeremy S. Halford,"Executive Vice President, Chief Operating Officer",2022,537000,550600,303195,73576,543763,2137974
931148,EAF,Quinn J. Coburn,Senior Vice President,2021,421325,436240,246966,249938,25348091,26799310
931148,EAF,David J. Rintoul,Former Chief Executive Officer and President,2021,755063,1170960,662909,600625,23200,3445257
931148,EAF,I igo Perez Ortiz,"Senior Vice President, Commercial and CTS",2021,450771,424760,240467,267585,60638,1547803
931148,EAF,Timothy K. Flanagan,"Chief Financial Officer, VicePresident Finance and Treasurer",2021,39141,0,0,0,2788,41929
931148,EAF,Jeremy S. Halford,"Executive Vice President, Chief Operating Officer",2021,488728,482160,272963,289172,1069029,2711005
931148,EAF,Gina K. Gunning,Chief Legal Officer and Corporate Secretary,2021,374275,378840,214471,191425,23200,1256311
931148,EAF,Jeremy S. Halford,"Executive Vice President, Chief Operating Officer",2020,461250,324360,109824,243337,503468,1746527
931148,EAF,I igo Perez Ortiz,"Senior Vice President, Commercial and CTS",2020,370269,270300,91520,186123,30937,1028916
931148,EAF,David J. Rintoul,Former Chief Executive Officer and President,2020,691875,765850,259307,486675,21243,2433525
931148,EAF,Quinn J. Coburn,"Chief Financial Officer, Vice President Finance and Treasurer",2020,393383,117130,39659,207532,26301,872948
931148,EAF,Gina K. Gunning,Chief Legal Officer and Corporate Secretary,2020,355366,243270,82368,162480,24193,937312
931148,EAF,Quinn J. Coburn,"Chief Financial Officer, Vice President Finance and Treasurer",2019,381933,0,0,104202,26146,667144
931148,EAF,Gina K. Gunning,Chief Legal Officer and Corporate Secretary,2019,344750,267200,107272,81579,26293,948335
931148,EAF,David J. Rintoul,President and CEO,2019,666667,1002000,0,244350,84891,2361058
931148,EAF,Jeremy S. Halford,"Senior Vice President, Operations and Development",2019,300000,557000,212191,101812,34206,1356522
931148,EAF,Brian M. Boutte,"Former Senior Vice President, Commercial",2019,369000,334000,134090,100672,31443,1118823
931148,EAF,David J. Rintoul,President and CEO,2018,520833,261023,2395853,765625,326676,4457510
931148,EAF,Quinn J. Coburn,"Chief Financial Officer, Vice President Finance and Treasurer",2018,371550,0,0,296683,17692,758582
931148,EAF,Jeffrey C. Dutton,Former President and CEO,2018,110000,0,0,0,11137,121137
931148,EAF,Quinn J. Coburn,"Chief Financial Officer, Vice President Finance and Treasurer",2017,360000,0,0,0,16451,778931
931148,EAF,Jeffrey C. Dutton,Former President and CEO,2017,425000,0,0,0,44680,469680
931148,EAF,Jeffrey C. Dutton,Former President and CEO,2016,410000,0,0,0,41574,451574
931148,EAF,Quinn J. Coburn,"Chief Financial Officer, Vice President Finance and Treasurer",2016,360000,0,0,0,14548,448528
931148,EAF,Erick R. Asmussen,,2013,290080,472804,124845,0,15117,895036
931148,EAF,Lindon G. Robertson,,2013,283333,0,0,0,150605,433938
931148,EAF,John D. Moran,,2013,320000,336396,88305,0,18345,763046
931148,EAF,Craig S. Shular,,2013,800000,2184840,578550,0,60800,3614630
931148,EAF,Petrus J. Barnard,,2013,384400,484364,127281,0,15294,878965
931148,EAF,Joel L. Hawthorne,,2013,300000,379168,99876,22230,17102,812599
931148,EAF,Craig S. Shular,,2012,800000,1978080,521040,416000,40000,3779166
931148,EAF,Petrus J. Barnard,,2012,384400,365184,96192,125000,13844,1040344
931148,EAF,Lindon G. Robertson,,2012,400000,471696,124248,135200,20662,1151806
931148,EAF,Joel L. Hawthorne,,2012,300000,326193,83667,103350,12000,832049
931148,EAF,John D. Moran,,2012,320000,304320,80160,91520,15360,811360
931148,EAF,Craig S. Shular,,2011,762500,2180691,769600,0,81625,3820307
931148,EAF,John D. Moran,,2011,280250,381533,118400,0,19912,800095
931148,EAF,Lindon G. Robertson,,2011,182051,1885611,395366,0,8487,776959
931148,EAF,Joel L. Hawthorne,,2011,280002,243075,111000,0,14888,655667
931148,EAF,Mark R. Widmar,,2011,91250,500001,0,0,4562,595814
931148,EAF,Petrus J. Barnard,,2011,384400,311136,142080,0,30997,943999
931148,EAF,Craig S. Shular,,2010,677680,1113840,567840,870000,86380,3333873
931148,EAF,Petrus J. Barnard,,2010,384400,377910,189280,190000,54497,1233683
931148,EAF,John D. Moran,,2010,243000,157131,80444,178200,23940,682715
931148,EAF,Mark R. Widmar,,2010,353200,350064,179816,262800,37143,1183023
931148,EAF,Hermanus L. Pretorius,,2010,253050,157131,80444,200000,12733,703358
931148,EAF,Petrus J. Barnard,,2009,355570,361020,188100,436235,52532,1438327
931148,EAF,Hermanus L. Pretorius,,2009,218393,152613,80465,0,25620,477091
931148,EAF,John D. Moran,,2009,216532,152613,80465,354548,15920,820078
931148,EAF,Craig S. Shular,Chairman,2009,583083,1115880,585200,1049921,94056,3446396
931148,EAF,Mark R. Widmar,,2009,315795,361020,188100,389652,33290,1287857
931148,EAF,Hermanus L. Pretorius,"Vice President and President, Engineered Solutions",2008,231323,108436,0,275000,83207,697966
931148,EAF,Craig S. Shular,"Chairman, Chief Executive Officer & President",2008,619650,699747,584000,900000,85336,2891811
931148,EAF,Gary R. Whitaker,"Former General Counsel, Vice President and Secretary",2008,144923,125794,0,0,160884,431601
931148,EAF,Mark R. Widmar,Chief Financial Officer and Vice President,2008,335625,289211,0,350000,26966,1001802
931148,EAF,Petrus J. Barnard,"Vice President and President, Industrial Materials",2008,378829,240573,0,350000,42584,1011986
931148,EAF,Craig S. Shular,"Chairman, Chief Executive Officer &amp; President",2007,597575,566266,438000,1250000,104235,2956162
931148,EAF,Petrus J. Barnard,"Vice President and President, Graphite Electrodes",2007,370563,217794,0,500000,58133,1146490
931148,EAF,Hermanus L. Pretorius,"President, Advanced Graphite and Carbon",2007,253752,87118,0,250000,190537,781407
931148,EAF,Gary R. Whitaker,"General Counsel, Vice President and Secretary",2007,287019,173202,0,250000,20351,730572
931148,EAF,Mark R. Widmar,Chief Financial Officer and Vice President,2007,327708,360678,0,430000,27277,1145663
931148,EAF,Petrus J. Barnard,"Vice President and President, Graphite Electrodes",2006,358750,163850,0,450000,138877,1111477
931148,EAF,Hermanus L. Pretorius,"President, Advanced Graphite and Carbon",2006,313370,65540,0,250000,194848,823758
931148,EAF,Craig S. Shular,"Chairman, Chief Executive Officer &amp; President",2006,533000,426010,0,1100000,428893,2489645
931148,EAF,Mark R. Widmar,Chief Financial Officer and Vice President,2006,210779,205513,0,300000,65008,856300
931148,EAF,Gary R. Whitaker,"General Counsel, Vice President and Secretary",2006,190000,79473,0,200000,81692,561165
1652044,GOOGL,Prabhakar Raghavan,"Senior Vice President, Google",2020,655000,54585860,0,0,9750,55250610
1652044,GOOGL,Philipp Schindler,"Senior Vice President, Chief Business Officer, Google",2020,655000,65501684,0,0,226816,66383500
1652044,GOOGL,Sundar Pichai,"Chief Executive Officer, Alphabet and Google, and Director",2020,2015385,0,0,0,5410162,7425547
1652044,GOOGL,Ruth M. Porat,"Senior Vice President, Chief Financial Officer, Alphabet and Google",2020,655000,50217913,0,0,17770,50890683
1652044,GOOGL,Kent Walker,"Senior Vice President, Global Affairs and Chief Legal Officer, Google",2020,655000,50217913,0,0,9750,50882663
1652044,GOOGL,Ruth M. Porat,"Senior Vice President, Chief Financial Officer, Alphabet and Google",2019,650000,0,0,0,14052,664052
1652044,GOOGL,Sundar Pichai,"Chief Executive Officer, Alphabet and Google, and Director",2019,650000,276612072,0,0,3359480,280621552
1652044,GOOGL,Sundar Pichai,"Chief Executive Officer, Google",2018,650000,0,0,0,1231066,1881066
1652044,GOOGL,Ruth M. Porat,"Senior Vice President, Chief Financial Officer, Alphabet and Google",2018,650000,46612647,0,0,29357,47292004
1652044,GOOGL,Sergey Brin,"President, Alphabet, and Co-Founder",2018,1,0,0,0,0,1
